JL	Control_1	Control_2	Control_3
ENST00000394191	0	0	0	0
ENST00000641710	0	0	0	0
ENST00000641031	0	0	0	0
ENST00000637675	0	0	0	0
ENST00000652053	0	0	0	0
ENST00000615270	0	0	0	0
ENST00000377712	0	0	0	0
ENST00000611873	0	0	0	0
ENST00000627926	0	0	3	0
ENST00000630506	0	0	0	0
ENST00000630053	0	0	0	0
ENST00000626712	0	0	0	0
ENST00000619759	0	0	0	0
ENST00000439431	3	0	0	0
ENST00000472952	0	0	0	0
ENST00000651230	0	0	0	0
ENST00000642324	0	0	0	0
ENST00000438700	0	0	0	0
ENST00000622555	0	0	0	0
ENST00000435101	0	23.298	0	0
ENST00000358097	0	0	0	0
ENST00000433992	0	0	0	0
ENST00000651010	0	4.823	0	0
ENST00000610593	0	3.928	0	0.97
ENST00000424775	0	0	0	0
ENST00000435688	0	0	0	0
ENST00000614967	0	0	0	0
ENST00000612115	0	0	0	0
ENST00000514827	0	0	0	0
ENST00000627256	0	0	0	0
ENST00000621433	0	0	0	0
ENST00000633377	0	0	0	0
ENST00000633062	0	0	0	0
ENST00000632233	0	0	0	0
ENST00000541415	0	0	0	0
ENST00000622436	0	0	0	0
ENST00000553765	0	0	0	0
ENST00000425829	0	0	0	0
ENST00000435756	0	0	0	0
ENST00000574062	0	0	0	0
ENST00000575319	0	0	0	0
ENST00000614621	0	0	0	0
ENST00000619036	0	0	0	0
ENST00000607853	0	0	0	0
ENST00000619390	0	0	0	0
ENST00000621713	0	0	0	0
ENST00000619141	0	0	0	0
ENST00000621830	0	0	0	0
ENST00000615996	0	0	0	0
ENST00000445557	0	0	0	0
ENST00000622207	0	0	0	0
ENST00000613512	12.457	0	0	0
ENST00000458137	0	0	0	0
ENST00000375726	0	0	0	0
ENST00000447913	0	0	0	0
ENST00000446862	0	0	0	0
ENST00000441710	0	0	0	0
ENST00000433738	0	0	0	0
ENST00000448103	0	0	0	0
ENST00000417998	0	0	0	0
ENST00000494737	17.543	0	0	0
ENST00000508062	0	0	0	0
ENST00000422698	0	0	0	0
ENST00000613379	0	0	0	0
ENST00000621991	0	0	0	0
ENST00000619816	0	0	0	0
ENST00000634967	0	0	0	0
ENST00000634680	0	0	0	0
ENST00000606380	0	0	0	0
ENST00000616270	0	0	0	0
ENST00000618719	0	0	1.447	0
ENST00000629682	0	0	0	16.966
ENST00000620741	0	0	16.346	0
ENST00000627911	2.392	3.735	0	0
ENST00000625994	0	0	0	0
ENST00000617651	0	0	0	0
ENST00000616376	1.357	0	0	0
ENST00000457194	19	22	29.396	12.477
ENST00000429712	0	0	3.604	0
ENST00000493176	0	0	0	0
ENST00000651966	0	6.002	0	1.523
ENST00000420396	0	0	0	0
ENST00000649616	0	0	0	0
ENST00000332217	0	0	0	0
ENST00000504970	0	0	0	0
ENST00000649376	0	0	0	0
ENST00000641246	0	0	0	0
ENST00000568934	0	0	0	0
ENST00000508166	0	0	0	0
ENST00000503442	0	0	0	0
ENST00000511446	0	0	0	0
ENST00000504802	0	0	0	0
ENST00000508264	0	0	0	0
ENST00000613293	0	0	0	0
ENST00000610628	0	0	0	0
ENST00000418689	0	0	0	0
ENST00000616914	0	0	0	0
ENST00000571766	0	0	0	0
ENST00000641465	0	0	0	0
ENST00000339924	0	0	0	0
ENST00000391729	0	0	0	0
ENST00000440231	0	0	0	0
ENST00000618570	1	2	1	0
ENST00000634782	5.597	0	0	0
ENST00000634785	0	9.422	0	0
ENST00000635170	5.703	0	0	0
ENST00000651274	79.614	20.659	44.906	48.362
ENST00000635588	14.167	3.928	12.063	0.97
ENST00000635668	0	0	0	0
ENST00000635135	0	0	0	0
ENST00000638472	0	0	0	0
ENST00000639581	0	0	0	0
ENST00000639095	0	0	0	0
ENST00000632136	0	0	0	0
ENST00000622053	2	1	0	0
ENST00000443402	0	0	0	0
ENST00000436911	0	0	0	0
ENST00000390477	0	0	0	0
ENST00000611116	8	4	12	3
ENST00000466254	0	0	0	0
ENST00000633705	0	0	0	0
ENST00000390560	0	0	0	0
ENST00000488476	0	0	0	0
ENST00000461719	0	0	0	0
ENST00000463911	0	0	0	0
ENST00000390564	0	0	0	0
ENST00000390565	0	0	0	0
ENST00000631705	0	0	0	0
ENST00000633501	0	0	0	0
ENST00000631521	0	0	0	0
ENST00000633896	0	0	0	0
ENST00000632178	0	0	0	0
ENST00000390320	0	0	0	0
ENST00000390322	0	0	0	0
ENST00000390324	0	0	0	0
ENST00000390326	0	0	0	0
ENST00000390327	0	0	0	0
ENST00000390328	0	0	0	0
ENST00000390330	0	0	0	0
ENST00000390238	0	0	0	0
ENST00000390240	0	0	0	0
ENST00000390241	0	0	0	0
ENST00000390239	0	0	0	0
ENST00000390242	0	0	0	0
ENST00000497872	0	0	1	0
ENST00000390539	0	0	0	0
ENST00000641420	0	0	0	0
ENST00000390541	0	0	0	0
ENST00000641978	0	0	0	0
ENST00000390543	0	0	0	0
ENST00000641095	0	0	0	0
ENST00000390545	0	0	0	0
ENST00000641837	0	0	0	9
ENST00000390547	0	2	6	0
ENST00000390548	0	0	0	0
ENST00000390549	0	0	1	0
ENST00000390542	0	0	0	0
ENST00000641136	0	0	0	0
ENST00000390551	0	0	0	0
ENST00000390556	0	0	0	7
ENST00000613640	0	0	7	0
ENST00000637539	0	0	0	0
ENST00000390559	0	3	1	2
ENST00000632774	0	0	0	0
ENST00000622473	0	0	0	0
ENST00000610670	0	0	0	0
ENST00000621803	0	3	0	0
ENST00000390321	0	0	0	0
ENST00000390323	0	0	0	0
ENST00000390325	0	0	0	0
ENST00000390331	0	0	0	0
ENST00000390237	0	0	11	9
ENST00000631807	0	0	0	0
ENST00000633570	0	0	0	0
ENST00000631869	0	0	0	0
ENST00000612474	0	0	0	0
ENST00000632225	0	0	0	0
ENST00000631785	0	0	0	0
ENST00000633618	0	0	0	0
ENST00000633040	0	0	0	0
ENST00000631826	0	0	0	0
ENST00000632105	0	0	0	0
ENST00000632296	0	0	0	0
ENST00000630556	0	0	0	0
ENST00000567458	0	0	0	0
ENST00000425181	0	0	0	0
ENST00000565407	0	0	0	0
ENST00000453673	0	0	0	0
ENST00000421835	0	0	0	0
ENST00000390285	0	0	0	0
ENST00000390284	0	0	0	0
ENST00000633299	0	0	0	0
ENST00000633350	0	0	0	0
ENST00000632977	0	0	0	0
ENST00000631379	0	0	0	0
ENST00000633833	0	0	1	0
ENST00000560724	0	0	0	0
ENST00000633988	0	0	0	0
ENST00000632333	0	0	0	0
ENST00000633752	0	0	0	0
ENST00000634015	0	0	0	0
ENST00000631975	0	0	0	0
ENST00000632959	0	0	0	0
ENST00000631755	0	0	0	0
ENST00000633147	0	0	0	0
ENST00000632076	0	0	0	0
ENST00000632980	0	0	0	0
ENST00000632630	0	0	0	0
ENST00000633490	0	0	0	0
ENST00000632457	0	0	0	0
ENST00000354689	0	0	0	0
ENST00000558425	0	0	0	0
ENST00000632719	0	0	0	0
ENST00000633400	0	0	0	0
ENST00000632151	0	0	0	0
ENST00000390286	0	0	0	0
ENST00000390282	0	0	0	0
ENST00000390283	0	0	0	0
ENST00000390287	0	0	0	0
ENST00000640991	0	0	0	0
ENST00000622028	0	0	0	0
ENST00000629472	0	0	0	0
ENST00000627634	0	0	0	0
ENST00000390593	0	0	0	0
ENST00000628219	0	0	0	0
ENST00000626108	0	0	0	0
ENST00000627132	0	0	0	0
ENST00000390598	0	0	0	0
ENST00000632950	0	0	0	0
ENST00000390603	0	0	1	2
ENST00000390605	0	0	0	0
ENST00000390607	0	0	0	0
ENST00000390610	0	0	0	0
ENST00000390611	0	0	0	0
ENST00000438142	0	0	0	0
ENST00000390615	0	0	0	0
ENST00000390616	0	0	0	0
ENST00000390617	0	0	0	0
ENST00000390618	0	0	0	0
ENST00000390619	0	0	0	0
ENST00000434710	0	0	0	0
ENST00000390622	0	0	0	0
ENST00000390625	0	0	0	0
ENST00000390626	0	0	0	0
ENST00000390627	0	0	0	0
ENST00000338912	0	0	0	0
ENST00000558565	0	0	0	0
ENST00000390628	0	0	0	0
ENST00000390629	0	0	0	0
ENST00000390630	0	0	0	0
ENST00000454421	0	0	0	0
ENST00000390632	0	0	0	0
ENST00000390633	0	0	0	0
ENST00000390634	0	0	0	0
ENST00000632209	0	0	0	0
ENST00000624687	0	0	0	0
ENST00000617374	0	0	0	0
ENST00000433072	0	0	0	0
ENST00000621503	0	0	0	0
ENST00000424969	0	0	0	0
ENST00000390636	0	0	0	0
ENST00000390639	0	0	0	0
ENST00000626489	0	0	0	0
ENST00000628287	0	6	0	0
ENST00000618644	0	0	0	0
ENST00000630493	0	0	0	0
ENST00000610349	0	0	0	0
ENST00000628968	0	0	0	0
ENST00000618026	0	0	0	0
ENST00000390291	0	0	0	0
ENST00000570121	0	0	0	0
ENST00000390289	20	27.312	37.541	28
ENST00000622410	0	0	0	0
ENST00000390290	4	4	2	5
ENST00000620764	0	0	0	0
ENST00000427632	0	0	0	0
ENST00000390293	0	0	0	0
ENST00000390294	0	0	0	0
ENST00000562905	0	0	0	0
ENST00000631710	0	0	0	0
ENST00000632846	0	0	0	0
ENST00000632882	0	0	0	0
ENST00000390295	0	0	0	0
ENST00000390296	0	0	0	0
ENST00000390297	0	0	0	0
ENST00000632052	0	0	0	0
ENST00000633446	0	0	0	0
ENST00000632173	0	0	0	0
ENST00000633602	0	0	0	0
ENST00000631708	0	0	0	0
ENST00000633987	0	0	4	1
ENST00000557788	0	0	0	0
ENST00000390304	0	0	0	0
ENST00000390305	0	0	0	0
ENST00000390306	0	0	0	0
ENST00000390307	0	0	0	0
ENST00000390308	0	0	0	0
ENST00000390309	0	0	0	0
ENST00000390310	0	0	0	0
ENST00000390311	0	0	0	0
ENST00000390312	0	0	0	0
ENST00000390313	0	0	0	0
ENST00000390314	0	0	0	0
ENST00000390315	0	0	0	0
ENST00000390316	0	0	0	0
ENST00000620395	0	0	0	0
ENST00000390318	0	0	0	0
ENST00000390319	0	0	0	0
ENST00000390243	0	0	0	0
ENST00000390244	0	0	0	0
ENST00000496168	0	0	1	0
ENST00000464162	0	0	0	0
ENST00000390247	0	0	0	0
ENST00000495489	0	0	0	0
ENST00000493819	0	0	0	0
ENST00000483158	0	0	0	0
ENST00000480492	0	0	0	0
ENST00000390252	0	0	0	0
ENST00000479981	0	0	0	0
ENST00000490686	0	0	0	0
ENST00000492167	0	0	0	0
ENST00000390256	0	0	0	0
ENST00000484817	0	0	0	0
ENST00000498435	0	0	0	1
ENST00000482769	0	0	3	2
ENST00000468494	0	1	0	0
ENST00000473726	0	0	0	0
ENST00000558152	0	0	0	0
ENST00000465170	0	0	0	0
ENST00000498574	0	0	0	0
ENST00000620613	0	0	0	0
ENST00000621595	0	0	0	0
ENST00000429992	0	0	0	0
ENST00000448155	0	0	3	1
ENST00000509129	0	0	0	0
ENST00000390265	0	0	0	0
ENST00000474213	0	0	0	0
ENST00000491977	0	0	0	0
ENST00000612356	0	0	0	0
ENST00000453166	0	0	0	0
ENST00000558026	0	0	0	0
ENST00000390268	0	0	0	0
ENST00000462693	0	0	0	0
ENST00000436451	0	0	0	0
ENST00000492446	0	0	0	0
ENST00000483379	0	0	0	0
ENST00000390271	0	0	0	0
ENST00000390270	0	0	0	0
ENST00000417279	0	0	0	0
ENST00000611391	0	0	0	0
ENST00000377032	0	0	0	0
ENST00000390277	0	0	0	0
ENST00000390278	0	0	0	0
ENST00000468879	0	0	0	0
ENST00000471857	0	0	0	0
ENST00000634213	0	0	0	0
ENST00000631745	0	0	0	0
ENST00000633936	0	0	0	0
ENST00000633891	0	0	0	0
ENST00000633507	0	0	0	0
ENST00000632228	0	0	0	0
ENST00000631600	0	0	0	0
ENST00000633188	0	0	0	0
ENST00000633209	0	0	0	0
ENST00000631840	0	0	0	0
ENST00000633836	0	0	0	0
ENST00000634149	0	0	0	0
ENST00000632996	0	0	0	0
ENST00000633660	0	0	0	0
ENST00000390339	0	0	0	0
ENST00000390334	0	0	0	0
ENST00000390337	0	0	0	0
ENST00000390338	0	0	0	0
ENST00000390483	0	0	0	0
ENST00000390474	0	0	0	0
ENST00000390475	0	0	0	0
ENST00000390482	0	0	0	0
ENST00000390473	0	0	0	0
ENST00000390484	0	0	0	0
ENST00000390481	0	0	0	0
ENST00000390480	0	0	0	0
ENST00000390479	0	0	0	0
ENST00000390476	0	0	0	0
ENST00000390485	0	0	0	0
ENST00000390486	0	0	0	0
ENST00000390487	0	0	0	0
ENST00000390488	0	0	0	0
ENST00000390489	0	0	0	0
ENST00000390490	0	0	0	0
ENST00000390491	0	0	0	0
ENST00000390492	0	0	0	0
ENST00000390493	0	0	0	0
ENST00000390494	0	0	0	0
ENST00000390495	0	0	0	0
ENST00000390496	0	0	0	0
ENST00000390497	0	0	0	0
ENST00000390498	0	0	0	0
ENST00000390499	0	0	0	0
ENST00000612375	0	0	0	0
ENST00000614481	0	0	0	0
ENST00000390502	0	0	0	0
ENST00000390503	0	0	0	0
ENST00000390504	0	0	0	0
ENST00000390505	0	0	0	0
ENST00000390506	0	0	0	0
ENST00000390507	0	0	0	0
ENST00000390508	0	0	0	0
ENST00000390509	0	0	0	0
ENST00000390510	0	0	0	0
ENST00000390511	0	0	0	0
ENST00000390512	0	0	0	0
ENST00000390513	0	0	0	0
ENST00000390514	0	0	0	0
ENST00000390515	0	0	0	0
ENST00000390516	0	0	0	0
ENST00000390517	0	0	0	0
ENST00000390518	0	0	0	0
ENST00000390519	0	0	0	0
ENST00000390520	0	0	0	0
ENST00000390521	0	0	0	0
ENST00000390523	0	0	0	0
ENST00000390524	0	0	0	0
ENST00000390525	0	0	0	0
ENST00000390526	0	0	0	0
ENST00000390527	0	0	0	0
ENST00000390528	0	0	0	0
ENST00000390530	0	0	0	0
ENST00000390531	0	0	0	0
ENST00000390532	0	0	0	0
ENST00000390533	0	0	0	0
ENST00000390534	0	0	0	0
ENST00000390535	0	0	0	0
ENST00000390536	0	0	0	0
ENST00000390419	0	0	0	0
ENST00000633713	0	0	0	0
ENST00000361390	87752.378	108567.895	93703.334	58033.591
ENST00000361453	75819.252	142619.987	91289.966	51423.459
ENST00000361624	820474.461	1330434.455	700743.596	615318.855
ENST00000361739	154579.682	422454.622	178307.22	193616.476
ENST00000361851	6000.95	8729.078	4222.356	2985.654
ENST00000361899	97477.178	186306.806	96447.752	71822.466
ENST00000362079	202034.259	459612.765	278444.894	178055.981
ENST00000361227	43553.713	38812.421	25226.626	16553.101
ENST00000361335	15450.877	25639.286	16771.225	14265.74
ENST00000361381	165672.069	458881.213	221571.101	177393.849
ENST00000361567	104357.425	166152.688	92475.333	98555.18
ENST00000361681	3905.116	3368.397	4722.267	3721.003
ENST00000361789	111874.286	158121.033	117802.999	93085.054
ENST00000610981	0	0	0	0
ENST00000613233	0	0	0	0
ENST00000615620	709.02	901.618	841.025	826.695
ENST00000618352	50.965	21	78	68.596
ENST00000622022	0	0	0	0
ENST00000617592	0	237.589	151.698	112.681
ENST00000612327	832.797	825.24	1051.083	806.34
ENST00000614604	0	0	0	0
ENST00000620810	0	0	0	0
ENST00000617954	0	0	0	0
ENST00000610596	0	0	0	0
ENST00000612919	24.499	83.064	42.509	67.027
ENST00000400754	223.495	225.123	654.462	39.457
ENST00000622200	35.117	0	0	0
ENST00000598975	75	0	1	3
ENST00000610794	0	0	0	0
ENST00000619024	0	0	0	0
ENST00000613774	0	0	0	0
ENST00000613085	0	0	0	0
ENST00000613106	0	0	0	0
ENST00000612882	0	0	0	0
ENST00000612953	0	0	0	0
ENST00000620647	0	0	0	8.816
ENST00000611719	0	0	0	0
ENST00000621328	0	0	0	0
ENST00000622275	0	0	0	0
ENST00000616638	0	7.562	0	0
ENST00000612243	0	0	0	0
ENST00000614110	0	0	0	0
ENST00000610883	47.917	237.274	86.98	132.695
ENST00000622131	10.287	57.838	43.054	6.123
ENST00000614598	0	0	0	0
ENST00000615717	0	0	0	0
ENST00000617861	0	0	0	0
ENST00000617145	0	0	0	0
ENST00000613768	0	0	0	0
ENST00000616928	15709.984	18729.788	10591.957	6184.589
ENST00000626065	14387.34	3428.729	8413.429	8957.222
ENST00000455693	0	0	0	0
ENST00000612769	0	0	0	0
ENST00000551709	0	0	0	0
ENST00000546854	0	0	0	0
ENST00000612712	0	0	0	0
ENST00000613888	1.789	90.298	0	0
ENST00000615811	0	0	11.524	0
ENST00000614984	0	20.857	0	0
ENST00000629119	1326.098	2149.63	2839.735	1263.517
ENST00000627384	42.405	350.19	164.959	156.304
ENST00000625213	0	46.17	5.535	13.168
ENST00000629578	20359.269	35750.633	27529.418	24382.347
ENST00000626303	122.252	618.636	0	745.786
ENST00000626635	0	0	0	0
ENST00000629510	0	7.444	0	0
ENST00000625797	4.448	0	0	0
ENST00000628319	0	0	0	0
ENST00000615453	0	0	17.752	0
ENST00000621455	0	0	0	0
ENST00000612053	0	0	0	0
ENST00000428168	6.13	0	0	0
ENST00000441025	0	0	0	0
ENST00000630425	1494.596	892.614	763.377	2032.462
ENST00000626471	7.77	3.38	0	31.848
ENST00000627288	1	0	0	5.561
ENST00000629302	95.829	42.006	29.623	180.828
ENST00000629360	81.107	191.504	20.943	128.531
ENST00000625523	91.712	57.506	13.345	0
ENST00000631353	0	0	0	0
ENST00000628693	76.494	30.871	126.439	30.829
ENST00000628249	0	2	2.019	0
ENST00000625820	0	0	0	0
ENST00000626327	136.277	0	31.033	27.486
ENST00000627903	0	0	0	0
ENST00000629127	136.471	50.12	279.22	195.154
ENST00000622042	0	0	0	0
ENST00000619664	0	0	0	0
ENST00000622864	0	0	0	0
ENST00000618789	0	0	0	0
ENST00000612308	7	6	3	0
ENST00000629980	1366.696	2281.377	1898.512	1552.343
ENST00000628950	62.394	222.863	173.853	147.115
ENST00000622245	0	0	0	0
ENST00000621424	0	0	0	0
ENST00000615165	11.162	0	0	0
ENST00000300177	58077.426	389580.226	122373.644	212179.56
ENST00000322805	0	0	0	0
ENST00000616654	10	0	10	0
ENST00000622636	41.479	91.5	96.466	98.4
ENST00000620861	75.292	0	0	0
ENST00000607223	0	0	0	0
ENST00000529444	0	0	4.936	3.903
ENST00000256997	1925.473	2964.541	2884.064	2101.977
ENST00000533929	0	255.376	0	0
ENST00000527256	0	5.498	0	4.393
ENST00000621195	0	0	0	0
ENST00000628420	0	0	0	0
ENST00000613230	154.695	118.912	415.301	62.548
ENST00000601199	0	0	0	0
ENST00000627758	0	0	0	0
ENST00000630166	0	0	0	0
ENST00000629235	0	0	0	0
ENST00000628865	0	0	0	0
ENST00000629408	0	0	0	0
ENST00000593842	0	0	0	0
ENST00000621063	925.895	70.251	749.803	985.908
ENST00000625748	0	0	0	0
ENST00000622253	0	0	0	0
ENST00000619401	0	117.556	0	0
ENST00000611363	42.391	48.513	0	16.1
ENST00000549900	0	4.246	0	0
ENST00000553245	220.034	545.168	0	247.354
ENST00000621764	0	6	0	0
ENST00000611547	0	443.539	317.698	208.416
ENST00000645810	0	0	0	0
ENST00000626615	0	0	0	0
ENST00000639948	77	1	47	37.436
ENST00000626663	1185.599	735.647	647.479	902.959
ENST00000628258	162.74	6.7	186.681	0
ENST00000630619	58.872	51.653	46.84	54.436
ENST00000625378	1.658	0	0	1.604
ENST00000629007	3	7	4	4
ENST00000618003	0	0	0	0
ENST00000613260	0	0	0	0
ENST00000614143	0	0	0	0
ENST00000618382	0	0	0	0
ENST00000615345	0	0	0	0
ENST00000611599	0	0	0	0
ENST00000617446	0	0	0	0
ENST00000643872	287.465	481.757	138.185	220.443
ENST00000613216	0	0	0	0
ENST00000611339	0	0	0	2
ENST00000619729	0	0	0	0
ENST00000616938	89.109	62.345	0	0
ENST00000630979	111962.409	68908.688	75898.563	78427.774
ENST00000627647	96.21	156.06	163.294	184.622
ENST00000625669	466.547	678.872	777.039	911.721
ENST00000625844	43.114	41.459	23.204	38.081
ENST00000629468	120.911	221.983	334.154	121.692
ENST00000631188	65.521	106.134	111.911	97.612
ENST00000627260	2.008	0	0	0
ENST00000628986	162.001	57.235	107.749	112.278
ENST00000629488	40.699	22.32	69.886	39.536
ENST00000614336	2818.589	4024.452	6143.08	4491.805
ENST00000612640	556.499	922.813	897.389	1067.767
ENST00000612721	0	0	0	0
ENST00000616361	157.221	208.27	163.089	388.989
ENST00000614359	0	0	0	0
